p2;M
487.528;0.98592
492.04;0.98537
496.592;0.984821
501.187;0.984272
505.825;0.983724
510.505;0.983176
515.229;0.98263
519.996;0.982083
524.807;0.981538
529.663;0.980993
534.564;0.980448
539.511;0.979905
544.503;0.979362
549.541;0.978819
554.626;0.978277
559.758;0.977735
564.937;0.977195
570.164;0.976654
575.44;0.976115
580.764;0.975575
586.138;0.975037
591.562;0.974499
597.035;0.973961
602.56;0.973424
608.135;0.972888
613.762;0.972352
619.441;0.971816
625.173;0.971281
630.957;0.970747
636.796;0.970213
642.688;0.96968
648.634;0.969147
654.636;0.968614
660.693;0.968082
666.807;0.96755
672.977;0.967019
679.204;0.966489
685.488;0.965958
691.831;0.965428
698.232;0.964899
704.693;0.96437
711.214;0.963841
717.794;0.963313
724.436;0.962785
731.139;0.962257
737.904;0.96173
744.732;0.961203
751.623;0.960676
758.578;0.96015
765.597;0.959624
772.681;0.959098
779.83;0.958572
787.046;0.958047
794.328;0.957521
801.678;0.956996
809.096;0.956471
816.582;0.955946
824.138;0.955421
831.764;0.954896
839.46;0.954371
847.227;0.953846
855.067;0.953321
862.979;0.952795
870.964;0.95227
879.023;0.951744
887.156;0.951218
895.365;0.950692
903.649;0.950165
912.011;0.949639
920.45;0.949112
928.966;0.948585
937.562;0.948058
946.237;0.947532
954.993;0.947007
963.829;0.946482
972.747;0.945958
981.748;0.945436
990.832;0.944917
1000;0.944399
