p2_real;p2_imag;M_real;M_imag
0.00673859;-0.8;0.380452;0.358372
0.00697212;-0.8;0.380253;0.358277
0.00721375;-0.8;0.380049;0.358184
0.00746375;-0.8;0.379842;0.358094
0.00772241;-0.8;0.379631;0.358006
0.00799003;-0.8;0.379417;0.357921
0.00826694;-0.8;0.379199;0.357839
0.00855343;-0.8;0.37898;0.357759
0.00884986;-0.8;0.378757;0.357682
0.00915656;-0.8;0.37853;0.357623
0.00947388;-0.8;0.378304;0.357551
0.00980221;-0.8;0.378076;0.357482
0.0101419;-0.8;0.377848;0.357415
0.0104934;-0.8;0.377619;0.35735
0.010857;-0.8;0.377389;0.357287
0.0112333;-0.8;0.37716;0.357225
0.0116226;-0.8;0.37693;0.357165
0.0120254;-0.8;0.3767;0.357105
0.0124421;-0.8;0.376471;0.357046
0.0128733;-0.8;0.376242;0.356986
0.0133195;-0.8;0.376014;0.356927
0.0137811;-0.8;0.375786;0.356866
0.0142587;-0.8;0.375559;0.356804
0.0147528;-0.8;0.375333;0.356741
0.0152641;-0.8;0.375108;0.356676
0.0157931;-0.8;0.374882;0.356608
0.0163404;-0.8;0.374658;0.356537
0.0169067;-0.8;0.374433;0.356463
0.0174926;-0.8;0.374208;0.356385
0.0180988;-0.8;0.373983;0.356303
0.018726;-0.8;0.373758;0.356216
0.019375;-0.8;0.373531;0.356125
0.0200464;-0.8;0.373304;0.356028
0.0207412;-0.8;0.373075;0.355925
0.02146;-0.8;0.372843;0.355817
0.0222037;-0.8;0.37261;0.355702
0.0229732;-0.8;0.372373;0.355581
0.0237693;-0.8;0.372133;0.355453
0.0245931;-0.8;0.371888;0.355318
0.0254454;-0.8;0.371639;0.355176
0.0263272;-0.8;0.371385;0.355026
0.0272396;-0.8;0.371125;0.354869
0.0281836;-0.8;0.370858;0.354703
0.0291603;-0.8;0.370584;0.354529
0.0301709;-0.8;0.370302;0.354346
0.0312165;-0.8;0.370008;0.354169
0.0322983;-0.8;0.369707;0.353969
0.0334176;-0.8;0.369396;0.353759
0.0345757;-0.8;0.369072;0.353539
0.035774;-0.8;0.368736;0.35331
0.0370138;-0.8;0.368386;0.353069
0.0382965;-0.8;0.368014;0.35295
0.0396237;-0.8;0.367633;0.352687
0.0409969;-0.8;0.367235;0.352412
0.0424177;-0.8;0.366818;0.352123
0.0438877;-0.8;0.366382;0.35182
0.0454086;-0.8;0.365925;0.351502
0.0469823;-0.8;0.365446;0.351168
0.0486105;-0.8;0.364943;0.350816
0.0502952;-0.8;0.364416;0.350445
0.0520382;-0.8;0.363862;0.350066
0.0538416;-0.8;0.363282;0.349652
0.0557075;-0.8;0.362676;0.349214
0.0576381;-0.8;0.362041;0.34875
0.0596356;-0.8;0.361378;0.348257
0.0617023;-0.8;0.360686;0.347734
0.0638407;-0.8;0.359965;0.347178
0.0660531;-0.8;0.359214;0.346587
0.0683422;-0.8;0.358435;0.345958
0.0707107;-0.8;0.357627;0.34529
0.0731612;-0.8;0.356853;0.344681
0.0756967;-0.8;0.355989;0.343929
0.07832;-0.8;0.355099;0.343131
0.0810342;-0.8;0.354183;0.342284
0.0838425;-0.8;0.353244;0.341388
0.0867482;-0.8;0.352282;0.340439
0.0897545;-0.8;0.351299;0.339437
0.092865;-0.8;0.350294;0.338388
0.0960833;-0.8;0.349271;0.337397
0.0994131;-0.8;0.348228;0.33622
0.102858;-0.8;0.347165;0.334982
0.106423;-0.8;0.346082;0.333679
0.110111;-0.8;0.344975;0.332318
0.113927;-0.8;0.343846;0.330883
0.117875;-0.8;0.342689;0.329381
0.12196;-0.8;0.341502;0.327814
0.126187;-0.8;0.340282;0.326193
0.13056;-0.8;0.339031;0.324513
0.135085;-0.8;0.337752;0.322786
0.139766;-0.8;0.336451;0.321026
0.14461;-0.8;0.335143;0.319232
0.149622;-0.8;0.33384;0.317416
0.154807;-0.8;0.332568;0.315702
0.160172;-0.8;0.331328;0.31387
0.165723;-0.8;0.330144;0.312052
0.171466;-0.8;0.329025;0.310284
0.177408;-0.8;0.328059;0.308727
0.183556;-0.8;0.327021;0.307223
0.189918;-0.8;0.32592;0.305952
0.196499;-0.8;0.324601;0.30494
0.203309;-0.8;0.322874;0.304103
0.210355;-0.8;0.320634;0.303328
0.217645;-0.8;0.317903;0.302159
0.225188;-0.8;0.314882;0.300542
0.232992;-0.8;0.311777;0.298475
0.241066;-0.8;0.308717;0.296049
0.249421;-0.8;0.305748;0.293368
0.258065;-0.8;0.302864;0.290511
0.267008;-0.8;0.300049;0.28761
0.276261;-0.8;0.297248;0.284515
0.285835;-0.8;0.294437;0.281312
0.295741;-0.8;0.291678;0.278118
0.30599;-0.8;0.288711;0.274624
0.316595;-0.8;0.28554;0.270898
0.327567;-0.8;0.281929;0.266907
0.338919;-0.8;0.277141;0.26254
0.350664;-0.8;0.269591;0.259638
0.362817;-0.8;0.264141;0.263438
0.37539;-0.8;0.265985;0.263496
0.3884;-0.8;0.265698;0.259416
0.40186;-0.8;0.263687;0.255061
0.415787;-0.8;0.261058;0.251056
0.430196;-0.8;0.257985;0.247021
0.445105;-0.8;0.254706;0.243093
0.460531;-0.8;0.251279;0.239202
0.476491;-0.8;0.247753;0.235357
0.493004;-0.8;0.244159;0.231528
0.510089;-0.8;0.24053;0.22769
0.527767;-0.8;0.236947;0.223928
0.546057;-0.8;0.233265;0.219976
0.564981;-0.8;0.229535;0.215937
0.584561;-0.8;0.225739;0.211812
0.604819;-0.8;0.221867;0.207611
0.625779;-0.8;0.217918;0.203345
0.647466;-0.8;0.213939;0.199103
0.669905;-0.8;0.209846;0.194726
