p2_real;p2_imag;A_real;A_imag
640.787;-1;0.928277;5.23982e-06
654.512;-1;0.928206;5.12674e-06
668.531;-1;0.928135;5.01745e-06
682.851;-1;0.928064;4.91188e-06
697.477;-1;0.927993;4.80993e-06
712.417;-1;0.927922;4.71143e-06
727.676;-1;0.927851;4.61611e-06
743.263;-1;0.927779;4.52349e-06
759.183;-1;0.927708;4.43278e-06
775.444;-1;0.927637;4.34269e-06
792.054;-1;0.927565;4.25124e-06
809.019;-1;0.927494;4.15546e-06
826.348;-1;0.927423;4.05114e-06
844.048;-1;0.927352;3.93279e-06
862.127;-1;0.927282;3.79394e-06
880.593;-1;0.927214;3.62843e-06
899.455;-1;0.927147;3.43275e-06
918.721;-1;0.927083;3.20965e-06
938.399;-1;0.927022;2.97138e-06
958.499;-1;0.926965;2.74005e-06
979.03;-1;0.926911;2.54204e-06
1000;-1;0.926859;2.39707e-06
0.001;-0.8;1.61813;0.0861497
0.00103466;-0.8;1.6182;0.0861911
0.00107051;-0.8;1.61827;0.0862333
0.00110761;-0.8;1.61834;0.0862763
0.001146;-0.8;1.61841;0.0863201
0.00118571;-0.8;1.61849;0.0863646
0.0012268;-0.8;1.61857;0.0864098
0.00126932;-0.8;1.61865;0.0864557
0.00131331;-0.8;1.61874;0.0865022
0.00135882;-0.8;1.61883;0.0865493
0.00140591;-0.8;1.61892;0.0865969
0.00145464;-0.8;1.61901;0.086645
0.00150505;-0.8;1.61911;0.0866934
0.00155721;-0.8;1.61921;0.0867422
0.00161117;-0.8;1.61932;0.0867911
0.00166701;-0.8;1.61943;0.0868402
0.00172478;-0.8;1.61955;0.0868893
0.00178456;-0.8;1.61966;0.0869383
0.0018464;-0.8;1.61979;0.086987
0.00191039;-0.8;1.61991;0.0870354
0.00197659;-0.8;1.62005;0.0870832
0.00204509;-0.8;1.62018;0.0871303
0.00211597;-0.8;1.62032;0.0871765
0.0021893;-0.8;1.62047;0.0872215
0.00226517;-0.8;1.62062;0.0872653
0.00234367;-0.8;1.62077;0.0873074
0.00242489;-0.8;1.62093;0.0873478
0.00250893;-0.8;1.6211;0.087386
0.00259588;-0.8;1.62127;0.0874219
0.00268584;-0.8;1.62145;0.0874551
0.00277892;-0.8;1.62163;0.0874852
0.00287523;-0.8;1.62181;0.087512
0.00297487;-0.8;1.622;0.087535
0.00307797;-0.8;1.6222;0.0875539
0.00318464;-0.8;1.6224;0.0875682
0.003295;-0.8;1.62261;0.0875775
0.00340919;-0.8;1.62282;0.0875814
